Player,09/11vs. NYG,09/18vs. ARI,09/26vs. DAL,10/02vs. STL,10/16vs. PHI,10/23vs. CAR,10/30vs. BUF,11/06vs. SFO,11/13vs. MIA,11/20vs. DAL,11/27vs. SEA,12/04vs. NYJ,12/11vs. NWE,12/18vs. NYG,12/24vs. MIN,01/01vs. PHI
Anthony Armstrong,,,,O,O,P,,,,,,,,,,
O.J. Atogwe,P,,,,P,O,P,D,O,P,,,,,,
Terrence Austin,,,,,,,,,,,,O,O,Q,,
Brandon Banks,P,P,P,P,,,,,,,,,,,,
Stephen Bowen,,,,P,,,,,,,,D,P,P,P,
Jammal Brown,,,,,,,P,,O,P,P,P,O,O,P,O
Phillip Buchanon,,,,,Q,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Carriker,,,,,,,,,,,,,,,,P
Tashard Choice,,,,,,,,O,O,P,,,,,,
Chris Cooley,P,P,P,P,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fred Davis,,,,,,,,P,P,,,,,,,
Reed Doughty,,,,,,,P,P,P,P,,,,P,,
London Fletcher,,,,,,,P,P,,P,P,P,P,P,P,P
Keyaron Fox,,O,P,,,,,,O,O,P,,,,,
Jabar Gaffney,,,,,,,,,,,,P,,,,
Kedric Golston,,,,,,,,,P,IR,IR,IR,IR,IR,IR,IR
DeJon Gomes,,,O,P,,,,,,,P,P,P,,,P
Rex Grossman,,,,,,,P,,,,,P,P,,,
DeAngelo Hall,,P,P,,P,P,P,,,,,,P,,,
Leonard Hankerson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Roy Helu,,,,,,,,,,,,,,,O,Q
Tim Hightower,,,,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Maurice Hurt,,,,,,,,,,O,P,P,P,,,
Jarvis Jenkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
LaRon Landry,O,O,P,P,Q,,,,P,O,P,O,O,IR,IR,IR
Kory Lichtensteiger,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sean Locklear,,,,,,,,,,O,P,,,,,
Rocky McIntosh,,,,,,,,P,,,,,,,,
Will Montgomery,,,,P,,,,,,,,,,,,
Santana Moss,,,,,,,O,O,O,O,P,,,,,
Brian Orakpo,,P,,,,,,,,,,P,,,,
Niles Paul,,,,,,,,,O,O,D,P,,,,P
Logan Paulsen,,,P,,,,,P,,P,,,,,,
Saverio Rocca,,,,,,,,,,,,,P,P,P,P
Mike Sellers,,,P,,,,D,P,,,,,,O,P,
Donte' Stallworth,O,P,,,,O,P,,,,P,P,,P,,P
Nick Sundberg,,P,,,,,,,,,,,,,,
Ryan Torain,O,P,,,,,,,,,,,,,,
Byron Westbrook,,,,,,O,P,,,,,,,,,
Markus White,,,,,,,,,P,,,,,,,
Trent Williams,,,,,,O,O,P,P,,D,,,,,
Josh Wilson,,,P,P,,,P,,,,P,,,,P,
Darrel Young,,,O,O,P,,,,,,,O,P,,,
