Player,09/09vs. PHI,09/15vs. GNB,09/22vs. DET,09/29vs. OAK,10/13vs. DAL,10/20vs. CHI,10/27vs. DEN,11/03vs. SDG,11/07vs. MIN,11/17vs. PHI,11/25vs. SFO,12/01vs. NYG,12/08vs. KAN,12/15vs. ATL,12/22vs. DAL,12/29vs. NYG
David Amerson,,P,,,,Q,,,,,,,,,,
Nick Barnett,,,,,,,,,,,,,,,,IR
E.J. Biggers,,,,,,,,,,Q,P,,,,P,
Stephen Bowen,,,Q,,,,Q,P,P,Q,Q,IR,IR,IR,IR,IR
Adam Carriker,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Barry Cofield,P,P,P,,,,,,,,,,,,,
Kirk Cousins,P,,,,,,,,,,,,,,,
Fred Davis,,,Q,P,P,P,,,,,,,,,,
Reed Doughty,,,,,,,O,P,,,,,Q,,,
London Fletcher,,,,,,,,,P,,,,P,,,
Kai Forbath,,O,Q,Q,P,,,,,,,,,,,
Pierre Garcon,,,,,,,,P,,,,,,,,
Kedric Golston,,,Q,,,,,,,,,,,,,
Robert Griffin III,,,,,,,,P,,,,,,,,
Jose Gumbs,,,,,,,,O,P,P,Q,P,,,,
DeAngelo Hall,,,,,,,,,,Q,,,P,,,
Leonard Hankerson,,,Q,P,,,Q,P,P,P,IR,IR,IR,IR,IR,IR
Maurice Hurt,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,IR,IR,IR,IR
Brandon Jenkins,,,,Q,Q,P,,,,,,,,,,
Jarvis Jenkins,,,,,P,,,,,,,,,,,
Bryan Kehl,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Kerrigan,,,,P,,,,,,,,,,,,P
Kory Lichtensteiger,,,,,,,,,,,,,,P,,
Brandon Meriweather,Q,,D,P,,,,,P,,,,Q,P,,
Will Montgomery,,,,,,P,P,,,,,,,,,
Josh Morgan,,,,Q,,,,,,,,,,,,
Alfred Morris,,,,Q,P,,,,,,,,,,,
Jerome Murphy,,,,,,P,,,,,,,,,,
Chris Neild,,,,,D,P,Q,O,Q,,,,,,,
Brian Orakpo,,,Q,,,,,,,,,,,,,D
Niles Paul,,,,,,,,,,,,Q,P,,,
Logan Paulsen,,,,,Q,P,P,P,P,P,,,,,,
Jordan Reed,,,,Q,P,,P,,,,O,Q,Q,O,IR,IR
Keenan Robinson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trent Robinson,,,,,,,,,,,,,,P,,
Evan Royster,,,,,,,,,,P,,,,IR,IR,IR
Nick Sundberg,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Thompson,,P,,,,,,O,Q,IR,IR,IR,IR,IR,IR,IR
Trent Williams,,,,,,,,,,,,,P,,P,
Josh Wilson,,,,,,,,,,,P,,,,,
Darrel Young,,,,,,,,,,,P,Q,Q,,Q,P
