Player,09/10vs. PHI,09/17vs. LAR,09/24vs. OAK,10/02vs. KAN,10/15vs. SFO,10/23vs. PHI,10/29vs. DAL,11/05vs. SEA,11/12vs. MIN,11/19vs. NOR,11/23vs. NYG,11/30vs. DAL,12/10vs. LAC,12/17vs. ARI,12/24vs. DEN,12/31vs. NYG
Jonathan Allen,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Houston Bates,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Bowen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bashaud Breeland,,,,,,Q,Q,Q,,,,,,,,
Zach Brown,,,,,,,,,Q,Q,Q,Q,Q,O,O,O
Chris Carter,,,,,,,,,,,,,,IR,IR,IR
Tyler Catalina,,,,,,O,Q,,,,,,,,,
T.J. Clemmings,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
William Compton,,,,Q,,,,,,IR,IR,IR,IR,IR,IR,IR
Su'a Cravens,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamison Crowder,Q,,,Q,,,,Q,Q,,,,,,Q,
LeShun Daniels,,,,,,,,,,,,,,,O,IR
Robert Davis,,,,,,,,,,,,,,,,Q
Josh Doctson,,Q,,,,,,,,,,,,,,
Quinton Dunbar,,,,,,,,,,Q,,,,,,
Deshazor Everett,,,,,D,Q,Q,,,,,,,,,
Mason Foster,,,Q,Q,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendall Fuller,,,,,,,,,,,,,,,Q,
Ryan Grant,,,,,,,,,,Q,Q,,,Q,,
DeAngelo Hall,IR,IR,IR,IR,IR,IR,IR,,,Q,,,,,,
Maurice Harris,,,,,,,,,,,,,O,Q,Q,Q
Evander Hood,,,,,,,,,,,,,,,,O
Dustin Hopkins,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matthew Ioannidis,,,,,,,,O,O,Q,Q,Q,,,,
Arthur Jones,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Kyle Kalis,,,,,,,,,,,,,,,,Q
Robert Kelley,,,Q,Q,D,Q,,Q,,IR,IR,IR,IR,IR,IR,IR
Ryan Kerrigan,,,,,,,,,,,,,,,,Q
Anthony Lanier,,,,,,,,,,Q,Q,,,,,
Shawn Lauvao,,,,,,,,O,Q,Q,IR,IR,IR,IR,IR,IR
Spencer Long,Q,,,,,,O,D,Q,IR,IR,IR,IR,IR,IR,IR
Byron Marshall,,,,,,,,,,,,,,IR,IR,IR
Keith Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrell McClain,,,,,,,,,,,O,O,Q,Q,Q,Q
Stefan McClure,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fabian Moreau,,,,,,,Q,,,,,,,,,
Morgan Moses,,,,,,,Q,,Q,,Q,Q,Q,Q,Q,
Trent Murphy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Montae Nicholson,,,Q,,,,,Q,Q,Q,IR,IR,IR,IR,IR,IR
Josh Norman,,,Q,,O,O,Q,,,,,,,,,
Ty Nsekhe,,,,O,O,O,O,D,Q,Q,Q,Q,,,,
Niles Paul,,,,,,,,O,Q,Q,,,,,,
Samaje Perine,,,,,,,,,,,Q,,,,Q,
Terrelle Pryor,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Brian Quick,,,,,,,,,Q,Q,,,,,,
Jordan Reed,,,Q,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chase Roullier,,,,,,,,,,,O,O,Q,Q,,
Brandon Scherff,,,,,,,Q,Q,Q,Q,Q,Q,,,,
Preston Smith,,,,,,,Q,,,,,,,,,
Martrell Spaight,,,,,,,,Q,,,Q,Q,Q,,,Q
D.J. Swearinger,,,,Q,,,,,,,,,,,,
Phil Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Thompson,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Kendal Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trent Williams,,,,,Q,Q,Q,D,Q,Q,Q,Q,Q,IR,O,IR
