schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
9/2/1966,1966,1,FALSE,MIA,14,23,RAI,,,,Orange Bowl,FALSE,83,6,71,
9/3/1966,1966,1,FALSE,OTI,45,7,DEN,,,,Rice Stadium,FALSE,81,7,70,
9/4/1966,1966,1,FALSE,SDG,27,7,BUF,,,,Balboa Stadium,FALSE,70,7,82,
9/9/1966,1966,2,FALSE,MIA,14,19,NYJ,,,,Orange Bowl,FALSE,82,11,78,
9/10/1966,1966,1,FALSE,GNB,24,3,CLT,,,,Lambeau Field,FALSE,64,8,62,
9/10/1966,1966,2,FALSE,OTI,31,0,RAI,,,,Rice Stadium,FALSE,77,6,82,
9/10/1966,1966,2,FALSE,SDG,24,0,NWE,,,,Balboa Stadium,FALSE,69,9,81,
9/11/1966,1966,1,FALSE,ATL,14,19,RAM,,,,Atlanta-Fulton County Stadium,FALSE,71,7,57,
9/11/1966,1966,2,FALSE,BUF,20,42,KAN,,,,War Memorial Stadium,FALSE,63,11,73,
9/11/1966,1966,1,FALSE,DET,14,3,CHI,,,,Tiger Stadium,FALSE,67,7,73,
9/11/1966,1966,1,FALSE,PIT,34,34,NYG,,,,Pitt Stadium,FALSE,64,5,70,
9/11/1966,1966,1,FALSE,SFO,20,20,MIN,,,,Kezar Stadium,FALSE,60,25,75,
9/11/1966,1966,1,FALSE,CRD,16,13,PHI,,,,Busch Memorial Stadium,FALSE,72,5,70,
9/11/1966,1966,1,FALSE,WAS,14,38,CLE,,,,RFK Memorial Stadium,FALSE,65,8,52,
9/16/1966,1966,2,FALSE,RAM,31,17,CHI,,,,Los Angeles Memorial Coliseum,FALSE,72,10,52,
9/18/1966,1966,3,FALSE,BUF,58,24,MIA,,,,War Memorial Stadium,FALSE,61,3,67,
9/18/1966,1966,2,FALSE,CLE,20,21,GNB,,,,Cleveland Municipal Stadium,FALSE,62,6,57,
9/18/1966,1966,2,FALSE,DAL,52,7,NYG,,,,Cotton Bowl,FALSE,72,9,82,
9/18/1966,1966,3,FALSE,DEN,10,24,NWE,,,,Mile High Stadium,FALSE,59,7,53,
9/18/1966,1966,2,FALSE,MIN,23,38,CLT,,,,Metropolitan Stadium,FALSE,60,4,64,
9/18/1966,1966,3,FALSE,NYJ,52,13,OTI,,,,Shea Stadium,FALSE,68,9,58,
9/18/1966,1966,3,FALSE,RAI,10,32,KAN,,,,Oakland Coliseum,FALSE,65,11,82,
9/18/1966,1966,2,FALSE,PHI,23,10,ATL,,,,Franklin Field,FALSE,61,5,74,
9/18/1966,1966,2,FALSE,PIT,17,3,DET,,,,Pitt Stadium,FALSE,62,4,67,
9/18/1966,1966,2,FALSE,CRD,23,7,WAS,,,,Busch Memorial Stadium,FALSE,63,5,72,
9/25/1966,1966,3,FALSE,CLT,36,14,SFO,,,,Memorial Stadium (Baltimore),FALSE,56,7,68,
9/25/1966,1966,4,FALSE,NWE,24,43,KAN,,,,Fenway Park,FALSE,55,20,53,
9/25/1966,1966,4,FALSE,BUF,27,20,OTI,,,,War Memorial Stadium,FALSE,51,13,67,
9/25/1966,1966,3,FALSE,CLE,28,34,CRD,,,,Cleveland Municipal Stadium,FALSE,53,9,72,
9/25/1966,1966,3,FALSE,DAL,28,17,MIN,,,,Cotton Bowl,FALSE,76,12,60,
9/25/1966,1966,4,FALSE,DEN,7,16,NYJ,,,,Mile High Stadium,FALSE,66,9,50,
9/25/1966,1966,3,FALSE,DET,28,10,ATL,,,,Tiger Stadium,FALSE,56,9,58,
9/25/1966,1966,3,FALSE,GNB,24,13,RAM,,,,Lambeau Field,FALSE,46,9,56,
9/25/1966,1966,4,FALSE,RAI,20,29,SDG,,,,Oakland Coliseum,FALSE,64,12,80,
9/25/1966,1966,3,FALSE,PHI,35,17,NYG,,,,Franklin Field,FALSE,55,11,74,
9/25/1966,1966,3,FALSE,PIT,27,33,WAS,,,,Pitt Stadium,FALSE,53,10,80,
